#abgabe.csv
#Subair
#Kirimow
#12321260
group,number,graph_name,edge_probability,duration,node_expansions
rand-n40-fifo-lex-trivial,1,rand_n40_p0_1.graphml,0,13625000,1
rand-n40-fifo-lex-trivial,2,rand_n40_p5_1.graphml,5,804254800,7031
rand-n40-fifo-lex-trivial,3,rand_n40_p10_1.graphml,10,1503221200,9116
rand-n40-fifo-lex-trivial,4,rand_n40_p15_1.graphml,15,1637268700,15644
rand-n40-fifo-lex-trivial,5,rand_n40_p20_1.graphml,20,1111317200,11213
rand-n40-fifo-lex-trivial,6,rand_n40_p25_1.graphml,25,520342600,4644
rand-n40-fifo-lex-trivial,7,rand_n40_p30_1.graphml,30,743127100,5428
rand-n40-fifo-lex-trivial,8,rand_n40_p35_1.graphml,35,331297200,1877
rand-n40-fifo-lex-trivial,9,rand_n40_p40_1.graphml,40,282265700,2544
rand-n40-fifo-lex-trivial,10,rand_n40_p45_1.graphml,45,166075500,885
rand-n40-fifo-lex-trivial,11,rand_n40_p50_1.graphml,50,146321300,1016
rand-n40-fifo-lex-trivial,12,rand_n40_p55_1.graphml,55,151205100,1058
rand-n40-fifo-lex-trivial,13,rand_n40_p60_1.graphml,60,112053400,400
rand-n40-fifo-lex-trivial,14,rand_n40_p65_1.graphml,65,75874700,333
rand-n40-fifo-lex-trivial,15,rand_n40_p70_1.graphml,70,81895900,355
rand-n40-fifo-lex-trivial,16,rand_n40_p75_1.graphml,75,68108000,239
rand-n40-fifo-lex-trivial,17,rand_n40_p80_1.graphml,80,70520100,207
rand-n40-fifo-lex-trivial,18,rand_n40_p85_1.graphml,85,68510600,174
rand-n40-fifo-lex-trivial,19,rand_n40_p90_1.graphml,90,55835200,127
rand-n40-fifo-lex-trivial,20,rand_n40_p95_1.graphml,95,54514700,81
rand-n40-fifo-lex-trivial,21,rand_n40_p100_1.graphml,100,55545100,79
rand-n40-fifo-lex-hansen,22,rand_n40_p0_1.graphml,0,207500,1
rand-n40-fifo-lex-hansen,23,rand_n40_p5_1.graphml,5,274805300,3191
rand-n40-fifo-lex-hansen,24,rand_n40_p10_1.graphml,10,541387100,5340
rand-n40-fifo-lex-hansen,25,rand_n40_p15_1.graphml,15,772310700,7017
rand-n40-fifo-lex-hansen,26,rand_n40_p20_1.graphml,20,626507700,5770
rand-n40-fifo-lex-hansen,27,rand_n40_p25_1.graphml,25,255439500,2113
rand-n40-fifo-lex-hansen,28,rand_n40_p30_1.graphml,30,269647500,2301
rand-n40-fifo-lex-hansen,29,rand_n40_p35_1.graphml,35,125098400,810
rand-n40-fifo-lex-hansen,30,rand_n40_p40_1.graphml,40,182358300,1255
rand-n40-fifo-lex-hansen,31,rand_n40_p45_1.graphml,45,89172700,416
rand-n40-fifo-lex-hansen,32,rand_n40_p50_1.graphml,50,85434900,445
rand-n40-fifo-lex-hansen,33,rand_n40_p55_1.graphml,55,75833600,433
rand-n40-fifo-lex-hansen,34,rand_n40_p60_1.graphml,60,46778800,175
rand-n40-fifo-lex-hansen,35,rand_n40_p65_1.graphml,65,44725700,127
rand-n40-fifo-lex-hansen,36,rand_n40_p70_1.graphml,70,47691100,131
rand-n40-fifo-lex-hansen,37,rand_n40_p75_1.graphml,75,59918100,91
rand-n40-fifo-lex-hansen,38,rand_n40_p80_1.graphml,80,44383500,99
rand-n40-fifo-lex-hansen,39,rand_n40_p85_1.graphml,85,41050800,63
rand-n40-fifo-lex-hansen,40,rand_n40_p90_1.graphml,90,38952400,51
rand-n40-fifo-lex-hansen,41,rand_n40_p95_1.graphml,95,40790100,51
rand-n40-fifo-lex-hansen,42,rand_n40_p100_1.graphml,100,222100,1
rand-n40-fifo-maxdegree-trivial,43,rand_n40_p0_1.graphml,0,12500,1
rand-n40-fifo-maxdegree-trivial,44,rand_n40_p5_1.graphml,5,107447100,971
rand-n40-fifo-maxdegree-trivial,45,rand_n40_p10_1.graphml,10,166410200,1719
